83113ZZZloadWebpage:gov.ca.dmv.online.FragmentOnlineServices:$r5 = $r0.<gov.ca.dmv.online.FragmentOnlineServices: gov.ca.dmv.online.OnlineWebView webView>
101088ZZZprogressBarUpdate:gov.ca.dmv.online.OnlineWebView:$r1 = $r0.<gov.ca.dmv.online.OnlineWebView: android.widget.ProgressBar progressBar>
44311ZZZensureMenuView:android.support.v7.widget.Toolbar:$i0 = $r0.<android.support.v7.widget.Toolbar: int mPopupTheme>
44310ZZZensureMenuView:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.support.v7.widget.ActionMenuView mMenuView>
41807ZZZsetNavigationIcon:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.ImageButton mNavButtonView>
41805ZZZsetNavigationIcon:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.ImageButton mNavButtonView>
41817ZZZsetNavigationContentDescription:android.support.v7.widget.Toolbar:$r2 = virtualinvoke $r1.<android.content.Context: java.lang.CharSequence getText(int)>($i0)
41816ZZZsetNavigationContentDescription:android.support.v7.widget.Toolbar:$r1 = virtualinvoke $r0.<android.support.v7.widget.Toolbar: android.content.Context getContext()>()
34164ZZZgetView:gov.ca.dmv.drawer.DrawerAdapter:$r10 = $r0.<gov.ca.dmv.drawer.DrawerAdapter: android.graphics.Typeface fontAwesomeTypeFace>
19008ZZZonCreateView:gov.ca.dmv.drawer.FragmentDrawer:$r6 = $r0.<gov.ca.dmv.drawer.FragmentDrawer: android.widget.ListView listView>
19005ZZZonCreateView:gov.ca.dmv.drawer.FragmentDrawer:$r6 = $r0.<gov.ca.dmv.drawer.FragmentDrawer: android.widget.ListView listView>
19006ZZZonCreateView:gov.ca.dmv.drawer.FragmentDrawer:$r7 = $r0.<gov.ca.dmv.drawer.FragmentDrawer: gov.ca.dmv.drawer.DrawerAdapter adapter>
19488ZZZsetTitle:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.TextView mTitleTextView>
94015ZZZsetTitle:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.TextView mTitleTextView>
94013ZZZsetTitle:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.TextView mTitleTextView>
19491ZZZsetTitle:android.support.v7.widget.Toolbar:$r4 = <android.text.TextUtils$TruncateAt: android.text.TextUtils$TruncateAt END>
19490ZZZsetTitle:android.support.v7.widget.Toolbar:$r2 = $r0.<android.support.v7.widget.Toolbar: android.widget.TextView mTitleTextView>
41813ZZZsetActionBarDescription:android.support.v7.app.ActionBarDrawerToggle$ToolbarCompatDelegate:$r2 = $r0.<android.support.v7.app.ActionBarDrawerToggle$ToolbarCompatDelegate: android.support.v7.widget.Toolbar mToolbar>
